date, category, entityName, count, amount
2021-1Q,states,west bengal,15488,11172042.0
2021-1Q,states,madhya pradesh,14427,5567927.0
2021-1Q,states,tamil nadu,14406,11180849.0
2021-1Q,states,delhi,12822,9655261.0
2021-1Q,districts,bengaluru urban,21606,17636524.0
2021-1Q,districts,pune,10913,6482027.0
2021-1Q,districts,thane,6971,4869909.0
2021-1Q,districts,mumbai suburban,5505,3893302.0
2021-1Q,districts,hyderabad,5067,2446647.0
2021-1Q,districts,rangareddy,4821,2864273.0
2021-1Q,districts,jaipur,4630,2056318.0
2021-1Q,districts,medchal malkajgiri,4375,2393448.0
2021-1Q,districts,visakhapatnam,4006,2403199.0
2021-1Q,districts,kolkata,3750,2611912.0
2021-1Q,pincodes,560068,870,614123.0
2021-1Q,pincodes,421302,802,538000.0
2021-1Q,pincodes,700046,750,471141.0
2021-1Q,pincodes,201301,697,383781.0
2021-1Q,pincodes,560043,682,549677.0
2021-1Q,pincodes,500072,677,374999.0
2021-1Q,pincodes,560078,658,521459.0
2021-1Q,pincodes,410501,649,265413.0
2021-1Q,pincodes,560091,648,492850.0
2021-1Q,pincodes,110059,632,446103.0
2022-4Q,states,karnataka,133971,185063287.0
2022-4Q,states,maharashtra,125900,174915648.0
2022-4Q,states,tamil nadu,125491,146457790.0
2022-4Q,states,uttar pradesh,77022,116755813.0
2022-4Q,states,kerala,65563,103982997.0
2022-4Q,states,telangana,64655,88544127.0
2022-4Q,states,west bengal,54277,70466433.0
2022-4Q,states,delhi,48908,60603173.0
2022-4Q,states,andhra pradesh,44329,58043239.0
2022-4Q,states,rajasthan,40926,60792838.0
2022-4Q,districts,bengaluru urban,78817,101938016.0
2022-4Q,districts,pune,27018,38292195.0
2022-4Q,districts,chennai,21588,21184965.0
2022-4Q,districts,thane,20282,24614041.0
2022-4Q,districts,mumbai suburban,16192,18884324.0
2022-4Q,districts,rangareddy,15005,21565381.0
2022-4Q,districts,thiruvallur,14602,15650997.0
2022-4Q,districts,medchal malkajgiri,12852,17986714.0
2022-4Q,districts,hyderabad,12819,15945642.0
