date, category, entityName, count, amount
2022-1Q,districts,bhopal,159892411,221096758835.27948
2022-1Q,districts,central delhi,128309915,198072597274.588
2022-1Q,districts,rangareddy,127675017,216609881380.40106
2022-1Q,districts,medchal malkajgiri,110893187,185168270983.38605
2022-1Q,districts,mumbai suburban,104595313,148080835860.6061
2022-1Q,districts,khordha,104052705,152745328927.4852
2022-1Q,pincodes,500001,248675599,460948755722.1826
2022-1Q,pincodes,560001,224793308,308663371704.65454
2022-1Q,pincodes,411004,209101358,285005833904.6318
2022-1Q,pincodes,302016,148956604,248958961898.95383
2022-1Q,pincodes,462008,119378084,172143368941.8931
2022-1Q,pincodes,110006,112708284,170854549748.09644
2022-1Q,pincodes,444510,69862188,129741278088.80704
2022-1Q,pincodes,800001,68427326,126972470461.14954
2022-1Q,pincodes,600003,62446149,95888452779.63263
2022-1Q,pincodes,751001,58525215,91210203433.81744
2019-4Q,states,karnataka,237796252,295047143447.2384
2019-4Q,states,maharashtra,201260620,272994428799.56488
2019-4Q,states,telangana,163572258,280746765547.7425
2019-4Q,states,andhra pradesh,107218103,200948315488.80518
2019-4Q,states,west bengal,96805838,88203610254.64601
2019-4Q,states,uttar pradesh,86905005,145538926507.3059
2019-4Q,states,rajasthan,85074242,159452410049.68317
2019-4Q,states,delhi,80744997,129024467424.89066
2019-4Q,states,madhya pradesh,68131989,104687926790.8659
2019-4Q,states,odisha,64995633,79769373632.04843
2019-4Q,districts,bengaluru urban,180458808,199966708446.8142
2019-4Q,districts,pune,91666565,103270644868.1607
2019-4Q,districts,hyderabad,72987282,130230415629.3025
2019-4Q,districts,jaipur,44335592,81782144762.48987
2019-4Q,districts,rangareddy,31237803,44757331443.568375
2019-4Q,districts,new delhi,29048107,54398427887.76768
2019-4Q,districts,khordha,27477393,34227232121.528633
2019-4Q,districts,visakhapatnam,23594874,39133296330.044624
2019-4Q,districts,medchal malkajgiri,22999944,31417907129.793076
2019-4Q,districts,kolkata,21917627,26475748918.32508
2019-4Q,pincodes,560001,48600127,67204107791.7798
2019-4Q,pincodes,411006,32779718,51360244641.273315
2019-4Q,pincodes,500012,32637373,67244225971.71475
2019-4Q,pincodes,110011,22861243,44827058149.79611
2019-4Q,pincodes,302001,17153003,41220743922.1253
2019-4Q,pincodes,700009,16310685,18429094743.25623
2019-4Q,pincodes,751002,13743261,19669451911.7042
2019-4Q,pincodes,400008,10498727,22289347327.905037
2019-4Q,pincodes,800015,10441675,26228173437.46787
2019-4Q,pincodes,600003,10008230,21375916666.727257
2019-3Q,states,karnataka,170733735,214536720438.18292
2019-3Q,states,maharashtra,148735581,199617506744.94272
2019-3Q,states,telangana,121495376,201930021130.42365
2019-3Q,states,andhra pradesh,76288614,139447944254.78943
2019-3Q,states,delhi,69537876,103196812046.45712
2019-3Q,states,uttar pradesh,68623959,111268137475.02844
2019-3Q,states,rajasthan,67303617,112468290031.92343
2019-3Q,states,west bengal,66444829,70540532616.82985
2019-3Q,states,madhya pradesh,53610411,77676321491.22867
2019-3Q,states,odisha,41422272,57304577359.217094
2019-3Q,districts,bengaluru urban,131234422,150244275641.79712
2019-3Q,districts,pune,67093416,78128868958.39702
2019-3Q,districts,hyderabad,55159072,96365182751.25804
2019-3Q,districts,jaipur,36334520,58402103360.67965
2019-3Q,districts,new delhi,24687138,43288057341.92169
2019-3Q,districts,rangareddy,23655175,33663962263.155968
2019-3Q,districts,khordha,18364742,25509656902.49331
2019-3Q,districts,medchal malkajgiri,17492750,23256556346.306458
2019-3Q,districts,visakhapatnam,16694947,26944837120.046288
2019-3Q,districts,kolkata,16306691,21451201632.248753
2019-3Q,pincodes,560001,34182229,49823702321.09828
2019-3Q,pincodes,500012,27360144,55516914964.120514
2019-3Q,pincodes,411006,25995035,42031275308.282005
2019-3Q,pincodes,110011,20159577,36968948004.60185
2019-3Q,pincodes,302001,15037317,31903765546.790287
2019-3Q,pincodes,700009,11494363,14573984421.133255
2019-3Q,pincodes,751002,9990982,16300297217.157505
2019-3Q,pincodes,800015,8554034,21451659382.23745
2019-3Q,pincodes,400008,7234595,14467758895.186302
2019-3Q,pincodes,226004,6687157,17110382946.6282
2019-2Q,states,karnataka,115401604,163702024226.0841
2019-2Q,states,maharashtra,101149853,153294470088.05945
2019-2Q,states,telangana,89610379,155676443182.43457
2019-2Q,states,uttar pradesh,58883500,98917519370.67831
2019-2Q,states,delhi,57171512,81706816063.62862
2019-2Q,states,andhra pradesh,56409015,113634518758.22931
2019-2Q,states,rajasthan,50009286,89107313172.66756
2019-2Q,states,west bengal,47023535,57105691119.11844
2019-2Q,states,madhya pradesh,40846013,68334566380.56182
2019-2Q,states,tamil nadu,32171737,64207676025.75553
2019-2Q,districts,bengaluru urban,89148659,113389910485.89922
2019-2Q,districts,pune,44795652,58398808592.1738
2019-2Q,districts,hyderabad,43511186,73949377453.0185
2019-2Q,districts,jaipur,27449382,46056907216.76753
2019-2Q,districts,new delhi,23313548,36146671717.918365
2019-2Q,districts,rangareddy,16348519,25359412038.382965
2019-2Q,districts,patna,13421445,26125484618.416542
2019-2Q,districts,khordha,13339889,19006076643.493904
2019-2Q,districts,kolkata,13259522,17260848900.77318
2019-2Q,districts,lucknow,12624404,22426462674.94428
2019-2Q,pincodes,560001,27169035,40026681539.0066
2019-2Q,pincodes,500012,23303184,42709920754.79193
2019-2Q,pincodes,411006,22544991,34073354893.758354
2019-2Q,pincodes,110011,20001452,31366326747.68567
2019-2Q,pincodes,302001,14130072,26047079270.71371
2019-2Q,pincodes,700009,9694969,12068405239.946836
2019-2Q,pincodes,800015,9362673,19331794343.882797
2019-2Q,pincodes,226004,8966947,16438621373.818607
2019-2Q,pincodes,751002,8318660,12733845249.989027
2019-2Q,pincodes,600003,6992850,13700604318.48539
2019-1Q,states,karnataka,86587609,117976382145.74966
2019-1Q,states,maharashtra,75079069,111420690920.33997
2019-1Q,states,telangana,65290702,95523262035.66321
2019-1Q,states,uttar pradesh,57324504,76524180134.0167
2019-1Q,states,andhra pradesh,57264522,83760595917.0792
2019-1Q,states,west bengal,47626388,50164672623.8785
2019-1Q,states,delhi,47007327,58469131789.49733
2019-1Q,states,rajasthan,43956040,61141158575.55252
2019-1Q,states,madhya pradesh,37301049,48070279522.042015
2019-1Q,states,odisha,34031942,35427127930.698456
2019-1Q,districts,bengaluru urban,65174133,82111161572.76288
2019-1Q,districts,hyderabad,24838664,34892156029.40753
2019-1Q,districts,pune,23360634,32233517413.825317
2019-1Q,districts,jaipur,19178441,25043540802.372772
2019-1Q,districts,rangareddy,12952050,17677048557.63253
2019-1Q,districts,central delhi,12885975,16258175800.83931
2019-1Q,districts,chennai,11642449,18810971714.51368
2019-1Q,districts,gautam buddha nagar,10750094,10286434896.5461
2019-1Q,districts,medchal malkajgiri,10127087,13392043971.075241
2019-1Q,districts,new delhi,10000765,13939472234.96883
2019-1Q,pincodes,560001,16241340,23597361226.512825
2019-1Q,pincodes,110006,10251048,13201959766.05106
2019-1Q,pincodes,500012,9957548,15399177052.931395
2019-1Q,pincodes,600003,8217185,12799152324.27052
2019-1Q,pincodes,110011,6689740,9632804730.117004
2019-1Q,pincodes,400008,6494529,10238553958.763014
2019-1Q,pincodes,700009,6353573,7885002278.529919
2019-1Q,pincodes,411006,5641935,9202990658.018358
2019-1Q,pincodes,302001,4954219,7600396570.221162
2019-1Q,pincodes,201301,4596696,4223121104.413077
2023-4Q,states,maharashtra,2572162725,3098014934958.0
2023-4Q,states,karnataka,2564434164,3241376424383.0
2023-4Q,states,telangana,2020822178,3116417474765.0
2023-4Q,states,andhra pradesh,1596987426,2802514977823.0
2023-4Q,states,uttar pradesh,1566705382,2257441161652.0
2023-4Q,states,rajasthan,1349472154,2066379607801.0
2023-4Q,states,madhya pradesh,1102294613,1426502880687.0
2023-4Q,states,bihar,924427274,1434735808415.0
2023-4Q,states,west bengal,737953238,1249394976078.0
2023-4Q,states,odisha,732137476,978791865637.0
2023-4Q,districts,bengaluru urban,1345789742,1497515119439.0
2023-4Q,districts,pune,673819127,639679187750.0
2023-4Q,districts,rangareddy,460487052,647241284036.0
2023-4Q,districts,hyderabad,388720083,532414580487.0
2023-4Q,districts,jaipur,364600665,506659281364.0
2023-4Q,districts,medchal malkajgiri,362103399,502048775975.0
2023-4Q,districts,visakhapatnam,223584765,344512874812.0
2023-4Q,districts,gurugram,200753426,196708697020.0
2023-4Q,districts,thane,192539402,209015388352.0
2023-4Q,districts,gautam buddha nagar,192419424,180306500632.0
2023-4Q,pincodes,500072,69292728,91284974730.0
2023-4Q,pincodes,560068,63713816,62360639499.0
2023-4Q,pincodes,201301,47085837,38136753615.0
2023-4Q,pincodes,560037,43844472,47520783905.0
2023-4Q,pincodes,500081,41757627,48496303521.0
2023-4Q,pincodes,560076,40062218,40406677455.0
2023-4Q,pincodes,560078,39399547,42452583912.0
2023-4Q,pincodes,500032,38490289,44458212241.0
2023-4Q,pincodes,410501,37823604,30451717116.0
2023-4Q,pincodes,560100,37641570,35551238822.0
2023-3Q,states,karnataka,2369262302,2985880895587.0
2023-3Q,states,maharashtra,2290678587,2752172184241.0
2023-3Q,states,telangana,1875045924,2870202901073.0
2023-3Q,states,andhra pradesh,1475164403,2653414098098.0
2023-3Q,states,uttar pradesh,1354622466,1861748362006.0
2023-3Q,states,rajasthan,1237232167,1800225443616.0
2023-3Q,states,madhya pradesh,978812593,1237821998249.0
2023-3Q,states,bihar,734238751,1148153363366.0
2023-3Q,states,west bengal,632093191,1071548606382.0
2023-3Q,states,odisha,622397603,840298338124.0
2023-3Q,districts,bengaluru urban,1298080873,1442850468373.0
2023-3Q,districts,pune,625390706,593994260196.0
2023-3Q,districts,rangareddy,439381886,615864362548.0
