state, date, registeredUsers, appOpens
west-bengal,2020-2Q,13222022,198589332
west-bengal,2020-1Q,11960822,207068218
puducherry,2024-2Q,655486,2882669
puducherry,2024-1Q,631663,3299001
puducherry,2021-4Q,423167,14257568
puducherry,2021-3Q,396609,6899592
puducherry,2021-2Q,369961,5178916
puducherry,2021-1Q,346279,7914507
puducherry,2022-4Q,520649,24144184
puducherry,2022-3Q,496570,4186911
puducherry,2022-2Q,471663,3830290
puducherry,2022-1Q,448051,3938657
puducherry,2019-4Q,204292,3263122
puducherry,2019-3Q,177868,2476922
puducherry,2019-2Q,156458,661932
puducherry,2019-1Q,133059,0
puducherry,2023-4Q,607838,32182677
puducherry,2023-3Q,586550,4653693
puducherry,2023-2Q,564431,3817041
puducherry,2023-1Q,543819,3498429
puducherry,2018-4Q,109494,0
puducherry,2018-3Q,81546,0
puducherry,2018-2Q,65580,0
puducherry,2018-1Q,49318,0
puducherry,2020-4Q,319626,6377136
puducherry,2020-3Q,285173,4222159
puducherry,2020-2Q,255600,3057608
puducherry,2020-1Q,230908,3820943
delhi,2024-2Q,19789096,99756459
delhi,2024-1Q,19067147,80302941
delhi,2021-4Q,12785127,345669353
delhi,2021-3Q,11980061,223844376
delhi,2021-2Q,11182699,164997774
delhi,2021-1Q,10467210,281201600
delhi,2022-4Q,15764149,401864749
delhi,2022-3Q,15009523,49919498
delhi,2022-2Q,14260143,52553080
delhi,2022-1Q,13539197,57524153
delhi,2019-4Q,7289883,172682671
delhi,2019-3Q,6782286,163381027
delhi,2019-2Q,6165448,43731570
delhi,2019-1Q,5499263,0
delhi,2023-4Q,18363626,738806624
delhi,2023-3Q,17747167,49593289
delhi,2023-2Q,17103089,51415039
delhi,2023-1Q,16480011,51049789
delhi,2018-4Q,4630313,0
delhi,2018-3Q,3504911,0
delhi,2018-2Q,2756141,0
delhi,2018-1Q,2087022,0
delhi,2020-4Q,9747968,243433752
delhi,2020-3Q,9044174,190025029
delhi,2020-2Q,8391139,142852253
delhi,2020-1Q,7826197,178263986
manipur,2024-2Q,614446,59706780
manipur,2024-1Q,589568,59758762
manipur,2021-4Q,387746,7603294
manipur,2021-3Q,361749,9743772
manipur,2021-2Q,335409,7269002
manipur,2021-1Q,312668,3709227
manipur,2022-4Q,477292,12462732
manipur,2022-3Q,457063,26011343
manipur,2022-2Q,434563,26236900
manipur,2022-1Q,411900,22637747
manipur,2019-4Q,155358,1855488
manipur,2019-3Q,136316,1594205
manipur,2019-2Q,117747,464829
manipur,2019-1Q,99527,0
manipur,2023-4Q,564130,25551545
manipur,2023-3Q,541572,20694295
manipur,2023-2Q,519799,14076037
manipur,2023-1Q,498337,29419074
manipur,2018-4Q,82589,0
manipur,2018-3Q,61935,0
manipur,2018-2Q,46055,0
manipur,2018-1Q,29925,0
manipur,2020-4Q,288772,3783432
manipur,2020-3Q,258563,3552375
manipur,2020-2Q,215496,3011491
manipur,2020-1Q,177374,2175642
jharkhand,2024-2Q,10501982,1583300137
jharkhand,2024-1Q,10118149,1389086946
jharkhand,2021-4Q,6596196,284960009
jharkhand,2021-3Q,6151843,230475998
jharkhand,2021-2Q,5701503,184234107
jharkhand,2021-1Q,5313049,141731331
jharkhand,2022-4Q,8217638,396098729
jharkhand,2022-3Q,7836429,414228860
jharkhand,2022-2Q,7426174,379053485
jharkhand,2022-1Q,7025275,331355981
jharkhand,2019-4Q,3281371,70181789
jharkhand,2019-3Q,2915511,55504460
jharkhand,2019-2Q,2604854,14929066
jharkhand,2019-1Q,2279329,0
jharkhand,2023-4Q,9707336,658553048
jharkhand,2023-3Q,9360730,806517236
jharkhand,2023-2Q,8980709,657119942
jharkhand,2023-1Q,8609107,585808867
jharkhand,2018-4Q,1913949,0
jharkhand,2018-3Q,1532362,0
jharkhand,2018-2Q,1230599,0
jharkhand,2018-1Q,885762,0
jharkhand,2020-4Q,4917938,126310835
jharkhand,2020-3Q,4480027,99318784
jharkhand,2020-2Q,4061035,76339276
jharkhand,2020-1Q,3651393,74014713
chhattisgarh,2024-2Q,8704757,1483224382
chhattisgarh,2024-1Q,8394140,1290951432
chhattisgarh,2021-4Q,5565481,251752583
chhattisgarh,2021-3Q,5206084,276486076
chhattisgarh,2021-2Q,4837055,205784717
chhattisgarh,2021-1Q,4514551,124648704
chhattisgarh,2022-4Q,6846822,354976814
chhattisgarh,2022-3Q,6562237,543206487
chhattisgarh,2022-2Q,6238349,501411120
chhattisgarh,2022-1Q,5916961,448503438
chhattisgarh,2019-4Q,2725900,57278977
chhattisgarh,2019-3Q,2435058,46362341
chhattisgarh,2019-2Q,2191066,13206373
chhattisgarh,2019-1Q,1908898,0
chhattisgarh,2023-4Q,8057016,545124233
chhattisgarh,2023-3Q,7779977,951586898
chhattisgarh,2023-2Q,7469508,749111705
chhattisgarh,2023-1Q,7159660,678798431
chhattisgarh,2018-4Q,1579998,0
