date, registeredUsers, appOpens
2021-3Q,Others,28219,0.0758832292658266
2021-2Q,Vivo,87001,0.2521811973541569
2021-2Q,Xiaomi,77605,0.22494594108883054
2021-2Q,Samsung,57137,0.1656173730557633
2021-2Q,Oppo,43131,0.12501956555766186
2021-2Q,Realme,27996,0.08114923737804136
2021-2Q,Apple,6273,0.0181829249204334
2021-2Q,Huawei,4834,0.014011837887035717
2021-2Q,Motorola,4803,0.013921981251847858
2021-2Q,Tecno,4453,0.012907470854565587
2021-2Q,Lenovo,4280,0.012406012858194636
2021-2Q,Others,27481,0.07965645779346887
2021-1Q,Vivo,79699,0.2479775728384921
2021-1Q,Xiaomi,73383,0.22832580368143973
2021-1Q,Samsung,54230,0.16873265379780705
2021-1Q,Oppo,40045,0.12459707028089957
2021-1Q,Realme,23882,0.07430708534020336
2021-1Q,Apple,5784,0.017996490311018184
2021-1Q,Huawei,4871,0.015155758005700133
2021-1Q,Motorola,4859,0.015118420888872294
2021-1Q,Lenovo,4531,0.014097873028911374
2021-1Q,Tecno,3575,0.011123349388293569
2021-1Q,Others,26537,0.08256792243836264
2022-4Q,null,null,null
2022-3Q,null,null,null
2022-2Q,null,null,null
2022-1Q,Vivo,111699,0.2630873589749629
2022-1Q,Xiaomi,89446,0.2106743293214311
2022-1Q,Samsung,63414,0.1493605294768825
2022-1Q,Oppo,53652,0.12636785453517677
2022-1Q,Realme,44772,0.10545257554702404
2022-1Q,Apple,8300,0.019549190946133735
2022-1Q,Tecno,8287,0.019518571731398825
2022-1Q,Infinix,6909,0.01627293496949855
2022-1Q,OnePlus,5945,0.014002402430694585
2022-1Q,Motorola,4850,0.011423322420331158
2022-1Q,Others,27296,0.06429092964646584
2019-4Q,Xiaomi,48012,0.2429781677952206
2019-4Q,Vivo,42886,0.21703660968228422
2019-4Q,Samsung,35031,0.17728418303828986
2019-4Q,Oppo,23415,0.11849816293687183
2019-4Q,Realme,12044,0.0609520339274689
2019-4Q,Apple,3874,0.01960546159374083
2019-4Q,Motorola,3849,0.019478942094555612
2019-4Q,Lenovo,3794,0.01920059919634814
2019-4Q,Huawei,3405,0.017231955789026206
2019-4Q,OnePlus,2529,0.012798712537576291
2019-4Q,Others,18759,0.0949351714086175
2019-3Q,Xiaomi,43202,0.2441770427685682
2019-3Q,Vivo,37115,0.2097734119336005
2019-3Q,Samsung,31867,0.18011179625725574
2019-3Q,Oppo,20623,0.116560880353136
2019-3Q,Realme,10150,0.057367644648418294
2019-3Q,Lenovo,3660,0.020686263981597137
2019-3Q,Motorola,3640,0.02057322428770863
2019-3Q,Apple,3605,0.020375404823403737
2019-3Q,Huawei,3096,0.017498544613941184
2019-3Q,OnePlus,2366,0.013372595787010609
2019-3Q,Others,17605,0.09950319054536
2019-2Q,Xiaomi,38996,0.2459074284272922
2019-2Q,Vivo,32183,0.20294488586202547
2019-2Q,Samsung,28908,0.18229284903518728
2019-2Q,Oppo,18106,0.11417581031655946
2019-2Q,Realme,8833,0.05570059276075167
2019-2Q,Lenovo,3513,0.022152856602345818
2019-2Q,Motorola,3454,0.021780804641190567
2019-2Q,Apple,3276,0.020658342792281497
2019-2Q,Huawei,2827,0.01782696430823559
2019-2Q,OnePlus,2202,0.013885735906167235
