date, name, registeredUsers, appOpens2024-2Q,puducherry,655486,2882669
2022-3Q,karnataka,34493994,2148016434
2022-3Q,chandigarh,598698,2173356
2022-3Q,telangana,24506111,1255597644
2022-3Q,himachal pradesh,2381576,108832538
2022-3Q,west bengal,24372048,256445748
2022-3Q,gujarat,21394721,699121904
2022-3Q,sikkim,232025,18748536
2022-3Q,nagaland,307386,31229366
2022-3Q,mizoram,127735,15557163
2022-3Q,chhattisgarh,6562237,543206487
2022-3Q,jammu & kashmir,1719185,109346235
2022-3Q,goa,817830,19712764
2022-3Q,arunachal pradesh,373372,59722628
2022-3Q,delhi,15009523,49919498
2022-3Q,uttarakhand,4081976,152803850
2022-2Q,puducherry,471663,3830290
2022-2Q,tamil nadu,22829720,740265406
2022-2Q,uttar pradesh,41247289,947480495
2022-2Q,madhya pradesh,20766417,1902866132
2022-2Q,andhra pradesh,25157264,1378736856
2022-2Q,tripura,615782,21343111
2022-2Q,lakshadweep,6327,38450
2022-2Q,manipur,434563,26236900
2022-2Q,maharashtra,50802786,2492946019
2022-2Q,dadra & nagar haveli & daman & diu,449016,3886292
2022-2Q,meghalaya,269943,27458992
2022-2Q,andaman & nicobar islands,80530,5180013
2022-2Q,haryana,13576065,236091309
2022-2Q,rajasthan,24716181,2771434947
2022-2Q,ladakh,97517,14768129
2022-2Q,punjab,7702100,138965337
2022-2Q,assam,4755787,339929089
2022-2Q,jharkhand,7426174,379053485
2022-2Q,odisha,12801990,670311093
2022-2Q,bihar,19569894,348588438
2022-2Q,kerala,9442533,98876392
2022-2Q,karnataka,32831447,2065359837
2022-2Q,chandigarh,569582,2285979
2022-2Q,telangana,23314363,1276259370
2022-2Q,himachal pradesh,2264407,102488683
2022-2Q,west bengal,23124388,250276369
2022-2Q,gujarat,20321596,609943436
2022-2Q,sikkim,220994,16993937
2022-2Q,nagaland,292104,28652431
2022-2Q,mizoram,121535,16646550
2022-2Q,chhattisgarh,6238349,501411120
2022-2Q,jammu & kashmir,1635570,89986310
2022-2Q,goa,777779,19062157
2022-2Q,arunachal pradesh,354528,49889518
2022-2Q,delhi,14260143,52553080
