date, name, count, amount
2023-3Q,himachal pradesh,3935,7869767.0
2023-3Q,west bengal,58131,76359312.0
2023-3Q,gujarat,51049,65768085.0
2023-3Q,sikkim,251,698251.0
2023-3Q,nagaland,268,632287.0
2023-3Q,mizoram,166,271799.0
2023-3Q,chhattisgarh,11927,17838382.0
2023-3Q,jammu & kashmir,5453,10975874.0
2023-3Q,goa,3927,5646054.0
2023-3Q,arunachal pradesh,718,1904786.0
2023-3Q,delhi,47113,58878500.0
2023-3Q,uttarakhand,7856,12636749.0
2023-2Q,puducherry,1809,2614006.0
2023-2Q,tamil nadu,79698,105328191.0
2023-2Q,uttar pradesh,74194,122522457.0
2023-2Q,madhya pradesh,27027,44871764.0
2023-2Q,andhra pradesh,36376,52067478.0
2023-2Q,tripura,1563,2163813.0
2023-2Q,lakshadweep,15,38384.0
2023-2Q,manipur,123,341671.0
2023-2Q,maharashtra,102754,157303399.0
2023-2Q,dadra & nagar haveli & daman & diu,694,1058753.0
2023-2Q,meghalaya,730,1551577.0
2023-2Q,andaman & nicobar islands,768,1233395.0
2023-2Q,haryana,40710,62186066.0
2023-2Q,rajasthan,37170,61301449.0
2023-2Q,ladakh,215,635831.0
2023-2Q,punjab,13187,24998175.0
2023-2Q,assam,16475,28368139.0
2023-2Q,jharkhand,16662,23216215.0
2023-2Q,odisha,22163,31307110.0
2023-2Q,bihar,29212,40354886.0
2023-2Q,kerala,61032,100620604.0
2023-2Q,karnataka,117232,175704013.0
2023-2Q,chandigarh,1704,2501107.0
2023-2Q,telangana,55118,79238968.0
2023-2Q,himachal pradesh,4197,8499425.0
2023-2Q,west bengal,49792,65204280.0
2023-2Q,gujarat,32484,46254095.0
2023-2Q,sikkim,270,628191.0
2023-2Q,nagaland,269,628890.0
2023-2Q,mizoram,119,232928.0
2023-2Q,chhattisgarh,10514,16389610.0
2023-2Q,jammu & kashmir,5262,10974839.0
2023-2Q,goa,4166,5930801.0
2023-2Q,arunachal pradesh,696,2095988.0
2023-2Q,delhi,41358,54951108.0
2023-2Q,uttarakhand,8051,14034915.0
2023-1Q,puducherry,1955,2593091.0
2023-1Q,tamil nadu,90690,116710222.0
2023-1Q,uttar pradesh,73080,127110494.0
2023-1Q,madhya pradesh,26393,45135679.0
2023-1Q,andhra pradesh,34920,51963355.0
2023-1Q,tripura,1642,2404958.0
2023-1Q,lakshadweep,26,30199.0
2023-1Q,manipur,222,632084.0
2023-1Q,maharashtra,112174,166596248.0
2023-1Q,dadra & nagar haveli & daman & diu,799,1215168.0
2023-1Q,meghalaya,562,1187523.0
2023-1Q,andaman & nicobar islands,1004,1439198.0
2023-1Q,haryana,37287,61127194.0
2023-1Q,rajasthan,34415,61441050.0
2023-1Q,ladakh,161,495736.0
2023-1Q,punjab,10816,23330966.0
2023-1Q,assam,22100,36963888.0
2023-1Q,jharkhand,16108,23823406.0
2023-1Q,odisha,18899,29360555.0
2023-1Q,bihar,26929,38746711.0
2023-1Q,kerala,62377,101786828.0
2023-1Q,karnataka,127376,186543426.0
2023-1Q,chandigarh,1520,2415574.0
2023-1Q,telangana,54508,82678207.0
2023-1Q,himachal pradesh,3909,7826133.0
2023-1Q,west bengal,56833,77461732.0
2023-1Q,gujarat,32600,46937694.0
2023-1Q,sikkim,260,688605.0
2023-1Q,nagaland,320,704957.0
2023-1Q,mizoram,171,326688.0
2023-1Q,chhattisgarh,10460,16577191.0
2023-1Q,jammu & kashmir,4555,10275877.0
2023-1Q,goa,4097,5859549.0
2023-1Q,arunachal pradesh,606,1747475.0
2023-1Q,delhi,45821,61040038.0
2023-1Q,uttarakhand,7552,13599026.0
2020-4Q,puducherry,234,197955.0
2020-4Q,tamil nadu,10290,8993575.0
2020-4Q,uttar pradesh,17470,14180417.0
2020-4Q,madhya pradesh,10653,4897124.0
2020-4Q,andhra pradesh,21464,12985632.0
2020-4Q,tripura,244,149765.0
2020-4Q,manipur,90,49057.0
2020-4Q,maharashtra,44798,27113814.0
2020-4Q,dadra & nagar haveli & daman & diu,232,149513.0
2020-4Q,meghalaya,92,71029.0
2020-4Q,andaman & nicobar islands,124,157975.0
2020-4Q,haryana,8283,5974278.0
2020-4Q,rajasthan,12509,6471573.0
2020-4Q,ladakh,27,34206.0
2020-4Q,punjab,2451,1884291.0
2020-4Q,assam,2413,1806801.0
2020-4Q,jharkhand,3659,2857024.0
2020-4Q,odisha,7526,4208701.0
2020-4Q,bihar,9913,7860932.0
2020-4Q,kerala,5479,4445525.0
2020-4Q,karnataka,31747,26814968.0
2020-4Q,chandigarh,200,153341.0
2020-4Q,telangana,20961,11339099.0
2020-4Q,himachal pradesh,710,630966.0
2020-4Q,west bengal,10233,7510455.0
2020-4Q,gujarat,9990,6055037.0
2020-4Q,sikkim,67,70214.0
2020-4Q,nagaland,62,38836.0
2020-4Q,mizoram,81,119124.0
2020-4Q,chhattisgarh,3757,2249901.0
2020-4Q,jammu & kashmir,647,734861.0
2020-4Q,goa,614,682364.0
2020-4Q,arunachal pradesh,125,84247.0
2020-4Q,delhi,9725,8045442.0
2020-4Q,uttarakhand,1756,1961891.0
2020-3Q,puducherry,191,58399.0
2020-3Q,tamil nadu,8026,2257373.0
2020-3Q,uttar pradesh,18131,4436969.0
2020-3Q,madhya pradesh,14476,3496126.0
2020-3Q,andhra pradesh,49812,12426481.0
2020-3Q,tripura,249,61642.0
2020-3Q,lakshadweep,4,1199.0
2020-3Q,manipur,134,45164.0
2020-3Q,maharashtra,71662,19230156.0
2020-3Q,dadra & nagar haveli & daman & diu,257,65504.0
2020-3Q,meghalaya,112,33615.0
2020-3Q,andaman & nicobar islands,41,15380.0
2020-3Q,haryana,7139,1884868.0
2020-3Q,rajasthan,15235,3758527.0
2020-3Q,ladakh,33,10260.0
2020-3Q,punjab,2488,684753.0
2020-3Q,assam,2206,599450.0
2020-3Q,jharkhand,5368,1349934.0
2020-3Q,odisha,10955,2640191.0
2020-3Q,bihar,9733,2161102.0
2020-3Q,kerala,8811,2830361.0
2020-3Q,karnataka,53701,12407394.0
2020-3Q,chandigarh,264,70969.0
2020-3Q,telangana,34395,8406543.0
2020-3Q,himachal pradesh,531,165559.0
2020-3Q,west bengal,12596,2878482.0
2020-3Q,gujarat,12525,3335812.0
2020-3Q,sikkim,94,28000.0
2020-3Q,nagaland,89,20798.0
2020-3Q,mizoram,74,24691.0
2020-3Q,chhattisgarh,4702,1393656.0
2020-3Q,jammu & kashmir,441,133339.0
2020-3Q,goa,683,196864.0
2020-3Q,arunachal pradesh,135,39687.0
2020-3Q,delhi,7588,1927285.0
2020-3Q,uttarakhand,1403,418543.0
2020-2Q,puducherry,112,22251.0
2020-2Q,tamil nadu,5473,1075552.0
2020-2Q,uttar pradesh,9884,1912266.0
2020-2Q,madhya pradesh,6283,1198701.0
2020-2Q,andhra pradesh,22104,3982391.0
2020-2Q,tripura,88,22054.0
2020-2Q,manipur,55,12554.0
2020-2Q,maharashtra,39836,6879717.0
2020-2Q,dadra & nagar haveli & daman & diu,651,101029.0
2020-2Q,meghalaya,41,8829.0
2020-2Q,andaman & nicobar islands,6,1360.0
2020-2Q,haryana,6321,1179814.0
2020-2Q,rajasthan,5373,1095933.0
2020-2Q,ladakh,14,2538.0
2020-2Q,punjab,2036,399452.0
2020-2Q,assam,978,210034.0
2020-2Q,jharkhand,2063,405031.0
2020-2Q,odisha,2981,615193.0
2020-2Q,bihar,2816,595621.0
2020-2Q,kerala,1588,360216.0
2020-2Q,karnataka,27358,4794150.0
2020-2Q,chandigarh,149,29537.0
2020-2Q,telangana,19003,3419453.0
2020-2Q,himachal pradesh,392,77936.0
2020-2Q,west bengal,7619,1432764.0
2020-2Q,gujarat,7697,1430591.0
2020-2Q,sikkim,21,4789.0
2020-2Q,nagaland,41,9791.0
2020-2Q,mizoram,31,7322.0
2020-2Q,chhattisgarh,1346,279005.0
2020-2Q,jammu & kashmir,206,48484.0
2020-2Q,goa,341,71100.0
2020-2Q,arunachal pradesh,65,14329.0
2020-2Q,delhi,11716,1897480.0
2020-2Q,uttarakhand,660,134899.0
