state, date, name, count, amount
tamil-nadu,2021-1Q,virudhunagar district,183,134166.0
tamil-nadu,2021-1Q,dindigul district,264,185304.0
tamil-nadu,2021-1Q,sivaganga district,96,75996.0
tamil-nadu,2021-1Q,tenkasi district,76,76585.0
tamil-nadu,2021-1Q,chengalpattu district,1311,1231310.0
tamil-nadu,2021-1Q,kanniyakumari district,133,98725.0
tamil-nadu,2021-1Q,tirunelveli district,151,161974.0
tamil-nadu,2021-1Q,thiruvallur district,1592,1272511.0
tamil-nadu,2021-1Q,theni district,124,104697.0
tamil-nadu,2021-1Q,ranipet district,168,117022.0
tamil-nadu,2021-1Q,namakkal district,226,133967.0
tamil-nadu,2021-1Q,vellore district,298,170937.0
tamil-nadu,2021-1Q,thiruvarur district,91,63114.0
tamil-nadu,2022-4Q,tiruchirappalli district,3089,3688816.0
tamil-nadu,2022-4Q,ramanathapuram district,721,986454.0
tamil-nadu,2022-4Q,krishnagiri district,3025,3993729.0
tamil-nadu,2022-4Q,cuddalore district,1883,2365883.0
tamil-nadu,2022-4Q,kancheepuram district,7909,8581184.0
tamil-nadu,2022-4Q,tiruppur district,8141,9483703.0
tamil-nadu,2022-4Q,dharmapuri district,1179,1612164.0
tamil-nadu,2022-4Q,thoothukkudi district,1306,1813185.0
tamil-nadu,2022-4Q,thanjavur district,1744,2189367.0
tamil-nadu,2022-4Q,madurai district,5446,6050332.0
tamil-nadu,2022-4Q,tiruvannamalai district,1166,1571135.0
tamil-nadu,2022-4Q,salem district,3949,4750490.0
tamil-nadu,2022-4Q,nagapattinam district,967,1314038.0
tamil-nadu,2022-4Q,tirupathur district,804,1068983.0
tamil-nadu,2022-4Q,ariyalur district,567,657902.0
tamil-nadu,2022-4Q,chennai district,21588,21184965.0
tamil-nadu,2022-4Q,the nilgiris district,707,1252582.0
tamil-nadu,2022-4Q,erode district,2921,3681867.0
tamil-nadu,2022-4Q,karur district,851,1174338.0
tamil-nadu,2022-4Q,kallakkurichi district,480,728707.0
tamil-nadu,2022-4Q,viluppuram district,1280,1733757.0
tamil-nadu,2022-4Q,pudukkottai district,770,1006928.0
tamil-nadu,2022-4Q,perambalur district,363,431433.0
tamil-nadu,2022-4Q,coimbatore district,12780,15595276.0
tamil-nadu,2022-4Q,virudhunagar district,1243,1482907.0
tamil-nadu,2022-4Q,dindigul district,2092,2823542.0
tamil-nadu,2022-4Q,sivaganga district,999,1306426.0
tamil-nadu,2022-4Q,tenkasi district,882,1159913.0
tamil-nadu,2022-4Q,chengalpattu district,12532,14457953.0
tamil-nadu,2022-4Q,kanniyakumari district,1600,2340651.0
tamil-nadu,2022-4Q,tirunelveli district,1580,2077649.0
tamil-nadu,2022-4Q,thiruvallur district,14602,15650997.0
tamil-nadu,2022-4Q,theni district,1199,1544440.0
tamil-nadu,2022-4Q,ranipet district,1128,1514689.0
tamil-nadu,2022-4Q,namakkal district,1684,2095785.0
tamil-nadu,2022-4Q,vellore district,1437,1831554.0
tamil-nadu,2022-4Q,thiruvarur district,877,1254066.0
tamil-nadu,2022-3Q,tiruchirappalli district,1475,2188413.0
tamil-nadu,2022-3Q,ramanathapuram district,337,474333.0
tamil-nadu,2022-3Q,krishnagiri district,2049,2783886.0
tamil-nadu,2022-3Q,cuddalore district,919,1242691.0
tamil-nadu,2022-3Q,kancheepuram district,4007,4599265.0
tamil-nadu,2022-3Q,tiruppur district,3159,4086616.0
tamil-nadu,2022-3Q,dharmapuri district,510,784874.0
tamil-nadu,2022-3Q,thoothukkudi district,664,1022686.0
